Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-01-31,4026.77,4056.97,3921.12,3991.15,7502362
2010-02-28,3955.49,3961.05,3647.3,3756.56,23631801
2010-03-31,3752.1,4046.48,3752.1,3940.99,39544903
2010-04-30,3942.62,3991.84,3822.52,3929.89,27873292
2010-05-31,3877.38,3907.87,3638.05,3811.89,27505171
2010-06-30,3791.82,3880.38,3733.71,3775.17,17680181
2010-07-31,3751.53,3896.31,3751.53,3873.93,195401919
2010-08-31,3888.44,3959.49,3864.09,3958.57,99366574
2010-09-30,3948.53,4279.85,3944.08,4247.14,154774627
2010-10-31,4208.25,4250.11,4084.56,4196.67,161923177
2010-11-30,4201.24,4326.73,4173.85,4197.09,160745888
2010-12-31,4205.59,4426.72,4205.59,4314.39,124868673
2011-01-31,4355.12,4369.97,4153.5,4251.3,96152427
2011-02-28,4224.64,4253.93,4112.35,4165.33,81169456
2011-03-31,4137.24,4275.79,4131.92,4244.59,199458681
2011-04-30,4227.97,4342.78,4185.02,4333.01,106014627
2011-05-31,4304.83,4463.45,4251.47,4463.45,176145066
2011-06-30,4450.88,4505.97,4367.28,4385.79,154203112
2011-07-31,4331.6,4381.61,4220.73,4302.41,95738876
2011-08-31,4323.31,4323.31,3355.84,3778.18,170929973
2011-09-30,3693.14,3753.19,3283.1,3646.17,112942040
2011-10-31,3571.18,3948.8,3571.18,3813.59,125792225
2011-11-30,3742.24,3963.02,3654.53,3963.02,118956228
2011-12-31,3910.45,3913.78,3698.63,3850.58,93729733
2012-01-31,3871.39,3989.29,3776.87,3836.29,107224744
2012-02-29,3842.74,3960.69,3709.79,3709.79,118017733
2012-03-31,3696.23,3773.83,3606.81,3666.06,136197269
2012-04-30,3668.61,3691.76,3429.03,3521.88,103941573
2012-05-31,3557.05,3557.05,3169.47,3406.36,110406264
2012-06-30,3379.49,3612.05,3288.28,3612.05,125917478
2012-07-31,3613.25,3640.05,3479.83,3523.25,83133212
2012-08-31,3514.08,3858.53,3502.9,3858.53,105963890
2012-09-30,3859.28,3920.45,3730.84,3832.02,87130149
2012-10-31,3827.08,3843.36,3561.38,3561.38,139565339
2012-11-30,3524.88,3685.88,3474.48,3675.49,121044592
2012-12-31,3659.69,3766.95,3593.96,3748.02,95077513
2013-01-31,3804.13,3924.2,3585.08,3587.55,107296108
2013-02-28,3596.52,3605.02,3297.38,3410.82,117550137
2013-03-31,3427.28,3669.31,3325.51,3441.46,220761515
2013-04-30,3451.75,3465.69,3189.02,3300.26,170036688
2013-05-31,3342.08,3600.31,3313.88,3600.31,145009130
2013-06-30,3552.81,3633.81,3088.69,3207.57,215947095
2013-07-31,3177.82,3259.7,3098.05,3195.68,105235141
2013-08-31,3243.51,3440.96,3222.52,3440.96,94422605
2013-09-30,3447.61,3743.94,3245.66,3605.39,151742863
2013-10-31,3596.32,3938.89,3588.83,3840.16,107844348
2013-11-30,3896.34,4057.29,3766.32,3952.68,86661262
2013-12-31,3943.95,3943.95,3453.73,3453.73,151475740
2014-01-31,3462.4,3557.88,3351.17,3449.79,154600646
2014-02-28,3509.62,3892.69,3483.16,3816.36,149301528
2014-03-31,3725.18,4033.7,3696.2,3985.66,182676443
2014-04-30,3984.42,4197.32,3933.48,4197.32,127300996
2014-05-31,4189.62,4373.75,4009.81,4260.88,158076749
2014-06-30,4263.63,4518.61,4263.63,4353.38,131059230
2014-07-31,4384.37,4391.75,4115.15,4259.33,153042808
2014-08-31,4237.72,4568.93,4232.43,4420.28,117788429
2014-09-30,4459.01,4759.19,4457.47,4643.91,159339152
2014-10-31,4595.89,4825.49,4452.59,4751.15,139356558
2014-11-30,4735.99,4763.27,4444.11,4448.12,110539714
2014-12-31,4476.77,4593.02,4221.24,4268.12,136681961
2015-01-31,4324.65,4428.08,4214.21,4288.28,135510102
2015-02-28,4282.99,4458.96,4251.75,4452.96,97595454
2015-03-31,4434.21,4561.8,4276.35,4479.03,150628636
2015-04-30,4463.77,4681.29,4445.67,4527.2,132715149
2015-05-31,4500.82,4526.28,4399.27,4493.07,109778971
2015-06-30,4424.36,4437.77,4063.87,4162.55,91732900
2015-07-31,4129.24,4157.96,3828.85,3934.24,108018790
2015-08-31,3946.92,3946.92,3401.9,3595.18,179378863
2015-09-30,3530.11,3670.18,3244.52,3299.66,185069425
2015-10-31,3329.02,3475.41,3214.07,3325.03,180062431
2015-11-30,3309.59,3412.72,2996.12,3026.79,186929125
2015-12-31,3063.31,3063.31,2737.03,2928.4,186642100
2016-01-31,2848.12,3043.47,2682.49,3043.47,172634321
2016-02-29,2999.01,3138.52,2855.36,2855.36,175995805
2016-03-31,2841.27,3166.32,2758.28,3114.33,238044107
2016-04-30,3087.72,3099.74,2962.89,3002.7,153108460
2016-05-31,3006.64,3008.21,2666,2761.52,139829876
2016-06-30,2733.27,2982.16,2644.21,2682.73,231529082
2016-07-31,2704.59,2936.86,2628.09,2911.46,158394113
2016-08-31,2859.86,2948.2,2586.87,2630.84,166596852
2016-09-30,2570.85,2673.17,2377.49,2396.24,252637182
2016-10-31,2397.5,2615.29,2304.26,2490.74,268872034
2016-11-30,2463.73,2541.74,2261.32,2341.45,312772229
2016-12-31,2346.44,2635.02,2308.97,2551.21,254143522
2017-01-31,2555.33,2766.44,2488.78,2680.31,197631861
2017-02-28,2703.42,2884.86,2628.22,2866.11,172116862
2017-03-31,2878.42,3040.21,2820.92,2876.2,222422266
2017-04-30,2864.81,2911.03,2777.94,2868.07,133571853
2017-05-31,2887.03,3037.76,2733.2,2762.75,175850058
2017-06-30,2804.39,3133.09,2774.98,3037.52,156554971
2017-07-31,3039.86,3354.12,2984.01,3341.39,126349027
2017-08-31,3340.03,3692.17,3273.29,3529.04,179592838
2017-09-30,3525.92,3585.24,3249.45,3361.72,135094665
2017-10-31,3378.69,3400.89,3142.42,3240.2,132949265
2017-11-30,3263.17,3263.17,2898.32,2961.37,120406551
2017-12-31,2959.75,3234.35,2915.07,2990.57,128424702
2018-01-31,3006.36,3217.64,2928.17,2932.59,149885061
2018-02-28,2950.43,2980.12,2554.21,2559.36,149222825
2018-03-31,2565.72,2673.55,2434.53,2457.61,193302319
2018-04-30,2467.74,2694.7,2428.2,2576.03,153345602
2018-05-31,2572.06,2660.25,2261.41,2446.67,336932189
2018-06-30,2414.93,2602.67,2296.62,2344.45,187755235
2018-07-31,2327.84,2456.64,2295.98,2421.92,117661026
2018-08-31,2427.26,2430.61,2172.05,2223.67,130344429
2018-09-30,2220.3,2263.54,2032.01,2208.13,242023570
2018-10-31,2205.52,2370.83,2186.57,2315.16,183686059
2018-11-30,2335.37,2722.05,2307.1,2661.37,203840192
2018-12-31,2678.45,2795.46,2356.91,2410.68,248303617
2019-01-31,2404.46,2750.3,2384.84,2740.69,172389648
