Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-02-28,4757.01,4870.11,4757.01,4870.11,2237287
2011-03-31,4911.3,5146.21,4667.71,5030.03,40326780
2011-04-30,5078.34,5450.21,5057.54,5340.05,21535402
2011-05-31,5288.07,5350.76,4866.31,5230.96,34318326
2011-06-30,5220.44,5292.04,5009.67,5289.89,32948038
2011-07-31,5293.37,5526.75,5252.66,5433.85,51520448
2011-08-31,5467.56,5467.56,4191.12,4860.51,51927592
2011-09-30,4727.22,4836.74,3789.5,3809.14,48949065
2011-10-31,3687.95,4475.96,3489.07,4373.55,57163302
2011-11-30,4253.36,4697.66,3665.46,3914.28,55596314
2011-12-31,3905.3,3931.45,3283.97,3388.75,42899729
2012-01-31,3411.03,4247.43,3411.03,4216.22,39947751
2012-02-29,4271.25,4487.42,4114.44,4402.84,35088254
2012-03-31,4421.44,4529.32,4153.67,4236.63,42205637
2012-04-30,4231.15,4322.45,3936.96,4125.01,23900079
2012-05-31,4129.71,4129.71,3626.12,3829.97,42101265
2012-06-30,3779.3,4390.64,3754.16,4266.19,38889864
2012-07-31,4274.44,4494.87,4065.52,4492.58,45263066
2012-08-31,4399.18,4742.67,4397.54,4515.22,54802091
2012-09-30,4597.56,5241.98,4586.73,5086.1,43948096
2012-10-31,5105.95,5470.94,5105.95,5246.21,35350598
2012-11-30,5290.78,5861.49,5259.89,5721.24,36373279
2012-12-31,5720.32,6203.66,5663.86,6063.7,21795389
2013-01-31,6174.04,6189.32,5866.96,6028.75,23947164
2013-02-28,6006.17,6093.86,5696.16,5785.56,23004256
2013-03-31,5606.27,5664.36,5045.81,5156.59,31586727
2013-04-30,5130.34,5334.64,4622.98,4803.7,33791932
2013-05-31,4693.67,4817.27,4470.55,4817.27,26501371
2013-06-30,4740.26,4931.09,3796.33,3880.97,45374326
2013-07-31,3921.99,4179.18,3844.87,3936.54,30748789
2013-08-31,3966.57,4527.08,3966.57,4290.81,27280440
2013-09-30,4437.23,4537.09,4059.19,4345.14,29159050
2013-10-31,4339.86,4412.17,4201.63,4340.1,30803517
2013-11-30,4360.97,4464.48,4129.95,4328.99,25064732
2013-12-31,4278.41,4278.41,4007,4118.45,23176934
2014-01-31,4158.47,4169.1,3722.13,3840.92,24609532
2014-02-28,3842.86,4077.28,3670.17,4077.28,28392579
2014-03-31,3949.18,4144.45,3497.15,3821.04,48193562
2014-04-30,3830.18,3993.8,3730.56,3786.41,30693000
2014-05-31,3805.51,4008.66,3759.4,3933.36,28993752
2014-06-30,3970.99,4241.49,3963.94,4164.49,24325001
2014-07-31,4174.32,4387.11,4105.2,4289.91,21564373
2014-08-31,4236.51,4504.78,4190.23,4310.1,22984400
2014-09-30,4341.62,4451.47,4090.61,4156.24,30590431
2014-10-31,4169.98,4241.99,4022.66,4220.81,27576997
2014-11-30,4191.83,4191.83,3944.61,3952.47,31786819
2014-12-31,3849.53,3868.1,3426.73,3481.62,28987224
2015-01-31,3489.42,3675.51,3295.86,3443.44,33135802
2015-02-28,3459.86,3901.59,3459.86,3841.06,34420247
2015-03-31,3848.2,3849.86,3544.31,3686.98,29442868
2015-04-30,3671.62,3845.27,3593.02,3845.27,27337089
2015-05-31,3918.14,3951.02,3640.8,3640.8,25361308
2015-06-30,3706.86,3724.96,3182.74,3182.74,30781905
2015-07-31,3199.96,3208.52,2657.78,2889.11,35125961
2015-08-31,2868.04,2885.25,2142.7,2434.93,30122719
2015-09-30,2374.88,2899.28,2367,2599.96,43144708
2015-10-31,2633.8,3060.53,2533.19,2722.29,38197498
2015-11-30,2765.37,2881.96,2230.41,2236.8,28857072
2015-12-31,2279.44,2279.44,1799.63,1956.85,30226999
2016-01-31,1851.21,1861.54,1615.46,1762.11,26690097
2016-02-29,1742.62,2120.93,1727.11,2071.73,44508985
2016-03-31,2053.9,2427.71,2053.9,2349.19,48043039
2016-04-30,2324.78,2453.53,2078.54,2380.82,36964102
2016-05-31,2375.62,2388.86,1907.42,1907.42,34420028
2016-06-30,1845.79,2115.15,1810.67,2099.64,30902145
2016-07-31,2117.2,2663.17,2113.78,2621.99,40280841
2016-08-31,2641.08,2726.52,2539.89,2625.85,39772625
2016-09-30,2607.34,2867.62,2562.99,2816.67,45886059
2016-10-31,2818.59,3013.16,2785.05,2977.49,62855978
2016-11-30,2960.41,3679.03,2882.15,3544.52,71849272
2016-12-31,3586.97,3824.86,3390.05,3516.44,49341522
2017-01-31,3521.23,4492,3451.32,4394.62,51155503
2017-02-28,4469.26,4853.6,4393.41,4603.45,38384130
2017-03-31,4685.31,4744.08,4141.63,4157.63,56201621
2017-04-30,4218.64,4678.55,4161.36,4518.19,28429612
2017-05-31,4563.24,4579.44,3887.4,3887.4,34084266
2017-06-30,3908.23,4198.47,3863.89,4106.07,21709137
2017-07-31,4114.04,4671.03,3991.05,4561.8,26100479
2017-08-31,4574.57,5015.51,4473.99,4922.77,29626680
2017-09-30,4926.59,5118.53,4435.07,4596.66,24507067
2017-10-31,4610.42,4914.66,4473.74,4762.85,20512338
2017-11-30,4786.06,4839.02,4171.82,4198.58,20000679
2017-12-31,4230.33,4445.96,3990.7,4394.93,20056134
2018-01-31,4394.83,4674.27,4294.02,4376.41,17478404
2018-02-28,4400.08,4488.35,4157.2,4159.99,19665988
2018-03-31,4164.28,4260.65,3360.29,3509.02,32340710
2018-04-30,3529.06,3908.44,3461.21,3742.43,24531360
2018-05-31,3761.04,3908.76,3460.75,3489.4,21063399
2018-06-30,3517.1,3966.93,3414.31,3509.32,21173061
2018-07-31,3485.17,3835.96,3473.81,3797.33,17294143
2018-08-31,3780.95,3790.97,3364.49,3607.55,19780355
2018-09-30,3605.25,3706.19,3209.22,3439.57,29997278
2018-10-31,3455.26,3542.91,3201.4,3446.82,19248332
2018-11-30,3555.29,3739,3353.12,3439.68,21979971
2018-12-31,3541.84,3602.27,3329.5,3423.39,15713531
2019-01-31,3397.4,3616.7,3331.77,3597.74,21211009
2019-02-28,3598.38,3776.72,3481.89,3672.62,47726568
2019-03-31,3701.76,3885.36,3569.69,3864.41,30563142
2019-04-30,3906.73,4039.36,3674.82,3695.55,26191651
2019-05-31,3618.59,3657.67,3245.07,3370.82,23414474
2019-06-30,3356.2,3621.15,3288.15,3580.94,26257772
2019-07-31,3644.2,3673.86,3218.16,3235.03,23399584
2019-08-31,3220.69,3226.84,2497.06,2693.11,35658436
2019-09-30,2696.25,2861.25,2529.68,2647.44,36042687
2019-10-31,2607.26,2830.9,2437.19,2725.58,49546737
2019-11-30,2778.95,3122.34,2771.18,3074.62,26940702
