Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1991-04-30,100,100,94.56,94.56,982
1991-05-31,93.96,96.61,93.96,95.65,4730
1991-06-30,96.94,96.94,85.02,85.02,7144
1991-07-31,89.12,89.12,82.51,82.51,14181
1991-08-31,79.42,79.42,73.97,73.97,10372
1991-09-30,72.58,72.58,68,68,17062
1991-10-31,67.85,92.32,67.85,92.32,30151
1991-11-30,99.04,99.57,85.67,85.67,29320
1991-12-31,91.71,100.19,91.71,91.91,27465
1992-01-31,97.49,97.49,91.51,93.74,25324
1992-02-29,93.51,94.16,90.13,92.54,71144
1992-03-31,94.79,95.66,88.22,88.22,177292
1992-04-30,87.83,87.83,77.42,77.42,364305
1992-05-31,76.13,78.25,73.89,74.86,369905
1992-06-30,74.67,74.67,63.53,72.35,337890
1992-07-31,79.19,87.06,79.19,84.12,746050
1992-08-31,81.91,85.04,80.79,85.04,519524
1992-09-30,83.87,91.21,82.64,91.21,814013
1992-10-31,93.8,96.15,87.71,94.01,1026518
1992-11-30,92.57,96.51,92.57,96.51,611863
1992-12-31,101.34,107.09,101.34,104.06,769985
1993-01-31,103.7,108.55,103.7,105.05,750202
1993-02-28,105.75,108.3,104.75,108.3,648403
1993-03-31,110.08,130.29,110.08,130.29,1338327
1993-04-30,129.32,195.03,129.32,183.74,1875632
1993-05-31,189.49,378.37,189.49,378.37,2492954
1993-06-30,370.99,370.99,263.76,350.41,3077531
1993-07-31,367.75,423.71,367.75,419.51,3427506
1993-08-31,422.75,747.4,422.75,630.78,4590438
1993-09-30,689.36,756.09,584.76,630.22,4028225
1993-10-31,654.16,810.94,654.16,797.45,4260111
1993-11-30,818.98,914.72,812.1,886.72,4094974
1993-12-31,917.24,1281.81,917.24,1243.9,4145372
1994-01-31,1304.48,1821.8,1304.48,1688.1,6689199
1994-02-28,1522.7,2019.6,1487.1,2019.6,5397702
1994-03-31,2027.5,2076,1453.6,1453.6,3917651
1994-04-30,1378.5,1401.4,998.04,1102,2736895
1994-05-31,1138.94,1247.9,1039.97,1203.6,3582444
1994-06-30,1116.6,1116.6,721.52,779.25,3377287
1994-07-31,801.9,1166.5,801.9,1071.5,4468185
