Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-02-28,2457.41,2542.22,2444.24,2524.83,107700160
2011-03-31,2506.39,2535.17,2409.92,2520.11,79336038
2011-04-30,2525.59,2603.74,2511.52,2550.17,56812021
2011-05-31,2553.97,2580.09,2358.96,2481.87,47764667
2011-06-30,2468.88,2478.73,2309.9,2322.16,43860094
2011-07-31,2317.16,2322.93,2053.37,2097.98,36329574
2011-08-31,2129.36,2129.36,1498.1,1652.37,80362445
2011-09-30,1610.42,1633.24,1358.86,1496.54,59794896
2011-10-31,1443.32,1584.6,1407.33,1542.69,57721520
2011-11-30,1491.93,1555.23,1319.14,1388.03,77294752
2011-12-31,1376.23,1378.73,1252.9,1319.94,41112459
2012-01-31,1333.93,1573.66,1288.88,1551.94,50067572
2012-02-29,1555.47,1637.78,1511.52,1526.01,61011654
2012-03-31,1512.45,1512.45,1358.71,1408.39,83397512
2012-04-30,1401.53,1401.53,1310.11,1348.61,41992015
2012-05-31,1342.29,1342.29,1199.71,1224.61,57331047
2012-06-30,1207.35,1269.14,1147.37,1236.74,38106182
2012-07-31,1234.45,1245.78,1154.86,1163.88,28340660
2012-08-31,1155.52,1166.77,1081.11,1108.72,34210395
2012-09-30,1094.4,1275.47,1074.83,1265.05,67223980
2012-10-31,1276.5,1351.08,1265.31,1334.97,65621876
2012-11-30,1338.05,1381.99,1274.6,1381.99,45474131
2012-12-31,1396.41,1474.22,1390.03,1446.06,68007357
2013-01-31,1457.02,1480.62,1397.85,1412.77,56105951
2013-02-28,1418.72,1431.26,1313.43,1354.3,52656650
2013-03-31,1352.49,1444.56,1303.95,1335.61,83211781
2013-04-30,1341.58,1356.5,1274.12,1303.66,32857912
2013-05-31,1286.1,1471.74,1274.69,1471.74,71262265
2013-06-30,1455.23,1598.45,1455.23,1476.14,99039631
2013-07-31,1476.24,1508.44,1451.3,1472.71,77804078
2013-08-31,1478.43,1518.88,1429.35,1440.79,63789159
2013-09-30,1466.02,1466.02,1332.56,1435.33,105616049
2013-10-31,1432.2,1584.97,1425.37,1550.39,156739052
2013-11-30,1560.3,1618.61,1550.41,1589.78,192763232
2013-12-31,1584.81,1584.81,1417.54,1486.67,113852106
2014-01-31,1487.23,1519.93,1442.75,1484.88,130230059
2014-02-28,1493.64,1508.85,1452.45,1496.96,155103962
2014-03-31,1438.67,1459.76,1351.88,1456.02,83328317
2014-04-30,1468.7,1485.08,1432.5,1458.98,60062659
2014-05-31,1449.64,1484.53,1398.57,1484.53,34585013
2014-06-30,1483.04,1556.33,1483.04,1500.68,37643279
2014-07-31,1494,1494,1352.13,1368.02,27982194
2014-08-31,1348.83,1375.44,1289.32,1296.27,26615022
2014-09-30,1295.01,1355.96,1278.35,1341.09,32505309
2014-10-31,1333.37,1333.37,1262.64,1327.6,19569724
2014-11-30,1318.3,1330.97,1297.05,1330.97,24992582
2014-12-31,1322.74,1342.59,1304.4,1340.47,35647040
2015-01-31,1341.35,1356.86,1260.07,1288.74,37937481
2015-02-28,1289.05,1325.12,1269.42,1321.76,25401448
2015-03-31,1319.21,1388.27,1319.21,1372.64,32166309
2015-04-30,1371.06,1427.65,1371.06,1427.65,39195359
2015-05-31,1427.11,1438.33,1396.04,1398.11,26752546
2015-06-30,1395.38,1418.22,1348.85,1369.31,23607897
2015-07-31,1373.43,1398.05,1342.11,1388.66,20303474
2015-08-31,1387.6,1436.89,1336.03,1351.93,21599615
2015-09-30,1340.73,1395.76,1340.42,1379.7,20951371
2015-10-31,1383.61,1492.31,1375.28,1453.13,23620352
2015-11-30,1456.88,1516.47,1448.79,1487.49,52079441
2015-12-31,1492.52,1516.61,1410.03,1513.35,43068128
2016-01-31,1501.26,1504.34,1423.88,1466.58,27889994
2016-02-29,1460.01,1472.94,1420.72,1460.64,37849557
2016-03-31,1460.88,1598.58,1457.04,1587.32,63539366
2016-04-30,1579.31,1651.12,1571.19,1649.93,59784324
2016-05-31,1647.69,1657.55,1566.04,1577.64,27358542
2016-06-30,1552.14,1623.47,1528.41,1603.35,42559100
2016-07-31,1617.86,1656.89,1578.18,1647.35,26437991
2016-08-31,1653.6,1679.65,1624.94,1675.01,24866531
2016-09-30,1676.48,1730.86,1643.07,1726.57,42555908
2016-10-31,1737.01,1789.89,1722.4,1774.93,19034112
2016-11-30,1778.62,1802.14,1715.96,1777.31,29377250
2016-12-31,1781.72,1854.23,1781.06,1829.06,31316226
2017-01-31,1834.65,1923.6,1826.87,1898.52,33830762
2017-02-28,1905.01,1954.21,1886.52,1920.81,75771353
2017-03-31,1929.68,1983.86,1907.74,1933.4,241128002
2017-04-30,1934.2,2034.91,1929.77,2013.24,60368100
2017-05-31,2028.87,2067.24,1993.19,2047.89,51509534
2017-06-30,2042.33,2144.37,2040.65,2130.39,44232102
2017-07-31,2132.83,2134.65,2075.77,2098.95,19227915
2017-08-31,2102.74,2148.81,2050.06,2148.81,20647313
2017-09-30,2151.85,2195.78,2137.3,2163.1,60085912
2017-10-31,2162.88,2187.79,2067.78,2110.83,51055532
2017-11-30,2120.5,2120.5,2029.42,2066.6,27925128
2017-12-31,2092.47,2219.54,2087.74,2198.05,44853237
2018-01-31,2193.95,2302.26,2189.66,2295.07,40161281
2018-02-28,2300.64,2300.64,2181.12,2196.27,26957034
2018-03-31,2188.08,2244.9,2164.93,2202.41,15887999
2018-04-30,2187.94,2239.47,2181.96,2211.94,17420439
2018-05-31,2224.15,2224.38,2093.04,2147.27,32126588
2018-06-30,2156.82,2204.16,2069.31,2088.32,42159669
2018-07-31,2100.07,2146.49,2060.4,2141.02,17451939
2018-08-31,2139.96,2139.96,2042.42,2091.8,26921400
2018-09-30,2095.12,2098.7,1965.98,2033.93,54364307
2018-10-31,2041.21,2069.36,1919.25,1966.31,29759462
2018-11-30,2034.07,2051.99,1969.14,2022.34,22819367
2018-12-31,2017.45,2053.59,1900.03,1911.66,18539282
2019-01-31,1919.36,2093.02,1893.67,2081.82,12228592
2019-02-28,2094.97,2151.05,2076.24,2132.24,48378807
2019-03-31,2138.97,2233.14,2125.45,2213.04,16687753
2019-04-30,2210.3,2273.27,2146.16,2155.26,8838335
2019-05-31,2148.17,2160.06,2070.79,2104.49,9050939
2019-06-30,2098.68,2250.82,2094.1,2245.46,12317113
2019-07-31,2246.9,2348.56,2223.32,2335.41,20041837
2019-08-31,2350.8,2351.75,2221.15,2277.83,17420091
2019-09-30,2281.1,2350.81,2247.44,2300.65,16621108
2019-10-31,2296.97,2365.6,2262.56,2342.93,14658094
2019-11-30,2346.25,2426.48,2327.04,2413.35,13073630
2019-12-31,2414.57,2428.15,2374.35,2402.34,8243208
